countries.capitals.population
kenya.nairobi."53.77"
uganda.kampala."45.74"
burundi.bujumbura."11.89"
rwanda.kigali."12.95"
tanzania.dodoma."59.73"
somalia.mogadishu."15.89"
ethiopia.addis ababa."115.0"
djibouti.djibouti."0.9882"
eritrea.asmara."6.081"
south sudan.juba."11.19"
